frame,elapsed_time(s),neck_x,neck_y,neck_c,spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
44,1.760000000000001,0.677379,0.284271,0.801791,0.671297,0.423208,0.741432,0.666725,0.420556,0.746528,0.668264,0.534975,0.817657,0.677425,0.644021,0.804646,0.683528,0.660296,0.558155,0.649841,0.665725,0.356235,0.649823,0.662983,0.32322,0.67892,0.423333,0.767012,0.652911,0.5323,0.85776,0.668271,0.643905,0.777058,0.678854,0.654817,0.638825,0.643773,0.665756,0.75594,0.654415,0.66855,0.708612
45,1.800000000000001,0.668193,0.289684,0.865211,0.666668,0.426041,0.783682,0.660562,0.425966,0.703009,0.668146,0.537771,0.848038,0.677337,0.643958,0.841781,0.680481,0.660244,0.823649,0.654419,0.663077,0.324525,0.654446,0.657534,0.193852,0.669726,0.428719,0.738563,0.640619,0.532256,0.845239,0.643734,0.646687,0.818923,0.651343,0.662888,0.697057,0.619242,0.665793,0.811904,0.629856,0.671161,0.836747
46,1.840000000000001,0.659036,0.292348,0.831073,0.657536,0.42595,0.762189,0.655916,0.425899,0.752448,0.666603,0.535043,0.839938,0.677399,0.643928,0.853641,0.680555,0.660209,0.801206,0.649852,0.662956,0.83507,0.654379,0.657537,0.73073,0.66364,0.426034,0.741558,0.629992,0.532254,0.891235,0.619211,0.660229,0.843257,0.625327,0.66849,0.762994,0.594641,0.662968,0.835123,0.602319,0.668463,0.833975
47,1.880000000000001,0.652867,0.292583,0.858051,0.649857,0.431486,0.727549,0.643715,0.428783,0.732909,0.659032,0.540413,0.785534,0.677405,0.643924,0.847693,0.681963,0.657601,0.778334,0.651375,0.66296,0.831877,0.65444,0.657599,0.768161,0.654473,0.436865,0.740851,0.620779,0.537718,0.827509,0.596218,0.652163,0.807154,0.597768,0.665814,0.759357,0.570236,0.646627,0.775306,0.577867,0.6603,0.787432
48,1.920000000000001,0.643692,0.295263,0.85792,0.64368,0.434148,0.766173,0.640616,0.434113,0.689853,0.655985,0.545831,0.817069,0.677393,0.64385,0.841268,0.681967,0.654882,0.771481,0.651376,0.663001,0.8243,0.654426,0.660209,0.76839,0.648281,0.436885,0.700739,0.617669,0.537724,0.806229,0.580967,0.643919,0.867625,0.580957,0.662912,0.753573,0.556458,0.638547,0.812503,0.5595,0.644022,0.800012
49,1.960000000000001,0.63304,0.297942,0.811529,0.632981,0.439592,0.745025,0.629974,0.436883,0.712904,0.652862,0.548546,0.810574,0.677348,0.641309,0.834581,0.680552,0.65215,0.7903,0.651354,0.662987,0.83647,0.654421,0.66021,0.781006,0.637594,0.442314,0.723253,0.605481,0.545881,0.811473,0.570193,0.644024,0.856467,0.570186,0.663086,0.774055,0.544185,0.635758,0.764841,0.545761,0.643868,0.820359
50,2.000000000000001,0.625324,0.300676,0.77856,0.623784,0.439637,0.710731,0.620725,0.436905,0.681497,0.643735,0.545847,0.823117,0.674323,0.641176,0.806683,0.680499,0.646732,0.779979,0.651364,0.663029,0.847919,0.65442,0.660257,0.777631,0.626866,0.442366,0.71723,0.593231,0.543149,0.841546,0.565602,0.649461,0.794417,0.56716,0.665877,0.756093,0.535016,0.641201,0.847812,0.541119,0.649415,0.808629
51,2.040000000000001,0.617632,0.303342,0.795364,0.61461,0.439636,0.721565,0.613087,0.439551,0.64035,0.634529,0.543151,0.788439,0.669739,0.635736,0.804117,0.678962,0.641294,0.770161,0.649811,0.665658,0.853648,0.654355,0.662929,0.769669,0.616099,0.442358,0.726434,0.582537,0.537739,0.847216,0.559511,0.649441,0.808921,0.565588,0.665836,0.759102,0.531909,0.649417,0.789347,0.536513,0.662932,0.822883
52,2.080000000000001,0.606941,0.297879,0.818023,0.603917,0.436917,0.73386,0.602377,0.436835,0.652909,0.622304,0.545901,0.798042,0.665176,0.627564,0.819983,0.672782,0.633087,0.758169,0.643754,0.663086,0.842109,0.646777,0.660286,0.718488,0.605398,0.442269,0.742504,0.574766,0.537646,0.829217,0.557916,0.654848,0.831793,0.561028,0.668466,0.739953,0.531841,0.66023,0.782179,0.535007,0.665704,0.838531
53,2.120000000000001,0.596252,0.295231,0.812231,0.594685,0.436847,0.745552,0.594647,0.43417,0.653152,0.606969,0.548552,0.85254,0.65448,0.619325,0.894722,0.666627,0.619324,0.834411,0.643679,0.665732,0.836073,0.645233,0.662961,0.740001,0.594729,0.439598,0.725658,0.56862,0.535003,0.86801,0.556446,0.657527,0.835492,0.559535,0.668431,0.741616,0.528872,0.663017,0.808298,0.533484,0.668453,0.822134
54,2.160000000000001,0.590124,0.295178,0.762537,0.584007,0.436896,0.726063,0.584021,0.434195,0.644119,0.593135,0.548566,0.850861,0.642133,0.611212,0.835409,0.652852,0.605766,0.798711,0.636054,0.665687,0.768893,0.639124,0.662966,0.695866,0.584001,0.442257,0.745655,0.560997,0.534986,0.828739,0.556486,0.654835,0.84485,0.561052,0.665836,0.771901,0.528863,0.663097,0.82909,0.533516,0.668515,0.823407
55,2.200000000000001,0.580926,0.292457,0.791907,0.57933,0.428772,0.70975,0.573253,0.428733,0.648092,0.574769,0.54583,0.763496,0.625321,0.603067,0.807703,0.634496,0.600429,0.800817,0.617713,0.660212,0.773328,0.619165,0.649469,0.701992,0.580888,0.434117,0.765972,0.557978,0.537689,0.84511,0.556478,0.654852,0.845518,0.56105,0.665782,0.804128,0.528845,0.665647,0.815004,0.533504,0.671153,0.801021
56,2.240000000000001,0.570279,0.286995,0.72574,0.571703,0.423353,0.737491,0.57171,0.423243,0.608876,0.561034,0.535042,0.813184,0.606929,0.605857,0.844063,0.617643,0.608514,0.792432,0.594759,0.652117,0.789729,0.597758,0.644064,0.725307,0.571706,0.426054,0.773145,0.556418,0.537655,0.853397,0.55645,0.654862,0.852991,0.561033,0.665685,0.823331,0.530365,0.663136,0.833338,0.535006,0.668547,0.813527
57,2.280000000000001,0.564081,0.281535,0.660458,0.564058,0.423192,0.671934,0.559488,0.42052,0.602518,0.545687,0.532346,0.824073,0.583998,0.614029,0.808664,0.594666,0.619364,0.78394,0.570258,0.64665,0.624245,0.571724,0.641213,0.548474,0.567132,0.423341,0.744588,0.550288,0.534945,0.775833,0.556453,0.649375,0.831849,0.56252,0.663014,0.839109,0.530361,0.663129,0.820803,0.535022,0.668518,0.81354
58,2.320000000000001,0.556453,0.278811,0.750318,0.556472,0.423257,0.739752,0.554866,0.423166,0.623875,0.531974,0.529521,0.845866,0.565582,0.619434,0.809031,0.571759,0.622126,0.673833,0.542605,0.641263,0.280728,0.538047,0.641098,0.237801,0.558026,0.425925,0.776801,0.548784,0.53506,0.784473,0.556455,0.646772,0.85472,0.562542,0.662887,0.819316,0.530368,0.665641,0.869272,0.535025,0.671158,0.803257
59,2.360000000000001,0.547248,0.281566,0.713365,0.547216,0.426006,0.756227,0.544159,0.425912,0.698993,0.521182,0.521384,0.85276,0.538016,0.6249,0.756455,0.544112,0.638513,0.454277,0.518136,0.643942,0.840404,0.519616,0.641098,0.73841,0.553356,0.428685,0.737215,0.5472,0.537724,0.828324,0.556424,0.646676,0.855837,0.562559,0.662998,0.820602,0.527323,0.663057,0.843511,0.533513,0.668534,0.784535
60,2.4000000000000012,0.542612,0.281591,0.693067,0.542595,0.423328,0.747391,0.533515,0.423261,0.719271,0.509022,0.521373,0.855528,0.513566,0.630353,0.786907,0.519698,0.643988,0.831159,0.492086,0.641268,0.833828,0.495089,0.638457,0.782047,0.545695,0.42601,0.774707,0.54568,0.537678,0.874155,0.557881,0.646756,0.873942,0.564081,0.663049,0.856311,0.531853,0.665726,0.851212,0.539582,0.671202,0.756762
61,2.4400000000000013,0.533409,0.281607,0.725306,0.533465,0.425937,0.721896,0.533396,0.425891,0.66633,0.504369,0.521327,0.758123,0.490556,0.630367,0.67812,0.493654,0.644092,0.703637,0.462979,0.624985,0.729851,0.467586,0.622275,0.681921,0.533505,0.42598,0.739687,0.544169,0.540401,0.655362,0.556475,0.649401,0.769129,0.562578,0.662977,0.701133,0.528824,0.665685,0.795246,0.533507,0.671216,0.741869
62,2.4800000000000013,0.521186,0.287039,0.72189,0.524268,0.428678,0.728441,0.521135,0.428663,0.718561,0.495225,0.53215,0.880101,0.470697,0.627665,0.818896,0.47218,0.644099,0.796624,0.446113,0.622045,0.761646,0.447692,0.61941,0.741993,0.531861,0.428747,0.761339,0.542588,0.548525,0.799627,0.556481,0.649376,0.866801,0.56409,0.663041,0.826942,0.53034,0.665724,0.828768,0.538015,0.671232,0.759884
63,2.5200000000000014,0.518091,0.292419,0.721975,0.519635,0.436837,0.703312,0.513554,0.436843,0.604876,0.487481,0.534876,0.781395,0.458353,0.624919,0.804897,0.458339,0.644007,0.740124,0.432328,0.616723,0.700631,0.433928,0.61401,0.689503,0.521224,0.436866,0.713549,0.535037,0.55127,0.791768,0.556479,0.649427,0.858338,0.565584,0.662983,0.831797,0.530355,0.66576,0.845472,0.536532,0.671269,0.768505
64,2.5600000000000014,0.507455,0.29518,0.779506,0.509011,0.442287,0.692475,0.508944,0.442264,0.597016,0.479864,0.534959,0.731007,0.447648,0.630342,0.770478,0.447656,0.646753,0.722924,0.421633,0.619306,0.723347,0.423213,0.616631,0.682599,0.510489,0.442348,0.700771,0.533382,0.553928,0.771896,0.556418,0.649361,0.798333,0.56406,0.662917,0.736172,0.52886,0.665689,0.816082,0.533522,0.671165,0.772522
65,2.6000000000000014,0.496725,0.295254,0.76449,0.499737,0.439554,0.703248,0.501273,0.434185,0.622364,0.524237,0.551245,0.586926,0.556341,0.646642,0.615679,0.562573,0.66021,0.448103,0.525773,0.665749,0.616401,0.52887,0.663056,0.55846,0.498241,0.442266,0.703593,0.469137,0.534999,0.598512,0.444572,0.641131,0.507179,0.444563,0.64948,0.511666,0.414017,0.622298,0.531139,0.420131,0.638499,0.533885
66,2.6400000000000015,0.49207,0.295197,0.753356,0.489026,0.44231,0.693985,0.484495,0.442307,0.643628,0.458436,0.535059,0.886722,0.435514,0.643941,0.865496,0.441533,0.662936,0.748037,0.410911,0.643865,0.855721,0.412497,0.641131,0.800194,0.493574,0.444988,0.703422,0.519637,0.553887,0.823942,0.553342,0.643984,0.823937,0.55952,0.652176,0.796013,0.527316,0.665911,0.804768,0.536491,0.671246,0.754884
67,2.6800000000000015,0.482824,0.29514,0.828888,0.48134,0.436865,0.70006,0.476769,0.434187,0.632433,0.447743,0.535002,0.875984,0.435371,0.643852,0.873575,0.437033,0.660224,0.739713,0.407861,0.652185,0.757029,0.409407,0.646639,0.767357,0.482914,0.439599,0.73054,0.505893,0.548615,0.8041,0.547234,0.641209,0.826404,0.55795,0.643983,0.836491,0.524271,0.671168,0.746396,0.533502,0.673958,0.732295
68,2.7200000000000015,0.470688,0.295235,0.838535,0.470665,0.431392,0.721878,0.470659,0.428738,0.641424,0.443113,0.532116,0.797523,0.433949,0.643894,0.82844,0.436997,0.660277,0.727338,0.407841,0.660203,0.734308,0.409404,0.652089,0.694141,0.470684,0.431485,0.727484,0.490564,0.551271,0.717649,0.538067,0.627577,0.763316,0.547253,0.627636,0.758969,0.522762,0.668461,0.78169,0.533385,0.665803,0.812838
69,2.7600000000000016,0.460016,0.292468,0.802222,0.460022,0.426041,0.72744,0.4676,0.425936,0.656363,0.473772,0.554045,0.665279,0.525768,0.619462,0.720392,0.536497,0.619372,0.680589,0.52114,0.676641,0.713207,0.522732,0.668513,0.649096,0.458406,0.428723,0.722666,0.435389,0.534941,0.61925,0.433831,0.644008,0.665562,0.435505,0.657608,0.621248,0.404804,0.660203,0.655361,0.409466,0.66312,0.730409
70,2.8000000000000016,0.455369,0.289788,0.771837,0.453828,0.42597,0.707738,0.456869,0.423278,0.652595,0.433824,0.532228,0.771889,0.433874,0.643949,0.781979,0.436998,0.66021,0.677796,0.407864,0.662996,0.73803,0.409335,0.66022,0.667625,0.450772,0.428701,0.707995,0.456896,0.551328,0.678575,0.510532,0.616756,0.717176,0.521266,0.613904,0.665084,0.505905,0.665844,0.721917,0.508961,0.663056,0.717254
71,2.8400000000000016,0.446145,0.281554,0.699758,0.446194,0.423255,0.755488,0.447732,0.423212,0.654724,0.430867,0.537695,0.758478,0.432391,0.644008,0.805661,0.4355,0.660261,0.768654,0.406333,0.662939,0.771524,0.409366,0.657593,0.705564,0.446075,0.425894,0.738117,0.433937,0.537743,0.734048,0.495193,0.619459,0.839297,0.507344,0.616718,0.757361,0.482957,0.66579,0.785408,0.49207,0.662998,0.726368
72,2.8800000000000017,0.438514,0.281559,0.721554,0.438531,0.423198,0.734763,0.444599,0.420475,0.65052,0.424717,0.540394,0.80023,0.432344,0.643982,0.828965,0.435499,0.660211,0.839031,0.404795,0.66296,0.817526,0.409349,0.657583,0.72928,0.435498,0.425926,0.760559,0.424734,0.54583,0.792413,0.47676,0.622097,0.832807,0.485957,0.62207,0.823268,0.46,0.668501,0.799304,0.470586,0.665781,0.803496
73,2.9200000000000017,0.433816,0.278828,0.765548,0.433874,0.420567,0.77382,0.435468,0.42048,0.653702,0.421591,0.53495,0.772014,0.432374,0.641252,0.853194,0.435505,0.652184,0.675314,0.40632,0.662886,0.866838,0.409379,0.654876,0.765657,0.430835,0.42325,0.750375,0.412458,0.535094,0.811611,0.456843,0.624971,0.802642,0.464541,0.635746,0.727261,0.438507,0.665734,0.72886,0.446117,0.665681,0.777807
74,2.9600000000000017,0.423208,0.276087,0.825108,0.424738,0.420482,0.748167,0.433865,0.41509,0.70712,0.423239,0.534969,0.849237,0.433941,0.64122,0.785012,0.444647,0.64678,0.48155,0.40789,0.662965,0.428738,0.409461,0.657594,0.39202,0.421605,0.42322,0.775789,0.398756,0.534892,0.876852,0.432393,0.638516,0.768809,0.438519,0.646653,0.655557,0.409403,0.663124,0.750747,0.415537,0.665817,0.688119
75,3.0000000000000018,0.415556,0.276194,0.729717,0.42009,0.423208,0.73869,0.423194,0.420542,0.672982,0.421638,0.537674,0.79649,0.432365,0.643965,0.815502,0.436969,0.660222,0.719325,0.397117,0.665725,0.121838,0.397136,0.660266,0.105246,0.412467,0.425907,0.725585,0.387953,0.532217,0.842369,0.415546,0.644045,0.76881,0.423246,0.660246,0.686363,0.386432,0.671164,0.739923,0.394092,0.676638,0.695435
76,3.040000000000002,0.409425,0.276191,0.832219,0.410983,0.420517,0.753884,0.420135,0.415122,0.695276,0.421588,0.535052,0.845927,0.432388,0.644024,0.844045,0.435521,0.660336,0.835694,0.407873,0.662907,0.729204,0.410931,0.654899,0.588789,0.407823,0.423249,0.739141,0.38029,0.532307,0.841263,0.38638,0.649447,0.830364,0.394061,0.663072,0.801901,0.360425,0.665764,0.826128,0.369559,0.668585,0.836192
77,3.080000000000002,0.400201,0.278919,0.791808,0.406347,0.420526,0.766633,0.411006,0.417772,0.705404,0.415505,0.535096,0.809035,0.432404,0.64393,0.855121,0.435529,0.660226,0.810669,0.404822,0.660341,0.791309,0.409437,0.657506,0.717228,0.398638,0.423252,0.783062,0.37266,0.534885,0.907889,0.362015,0.652106,0.816771,0.369612,0.665772,0.802648,0.337378,0.660227,0.761407,0.345062,0.665724,0.813388
78,3.120000000000002,0.395557,0.289655,0.795168,0.397181,0.425914,0.791059,0.404798,0.42324,0.701566,0.410984,0.53775,0.841567,0.43239,0.64388,0.854146,0.435516,0.66021,0.812651,0.406337,0.660334,0.780361,0.40945,0.654894,0.712311,0.389506,0.426065,0.719966,0.364998,0.537655,0.822151,0.345103,0.644096,0.827115,0.348129,0.66309,0.813912,0.31902,0.641294,0.803847,0.323677,0.649468,0.799067
79,3.160000000000002,0.384924,0.292378,0.869435,0.389478,0.426093,0.725773,0.394053,0.425888,0.630052,0.360432,0.535062,0.569266,0.332851,0.643846,0.571174,0.334335,0.662925,0.451209,0.300669,0.635787,0.586582,0.302241,0.633017,0.530028,0.386492,0.431464,0.737176,0.409329,0.540458,0.601506,0.432311,0.643999,0.610686,0.435453,0.657589,0.618623,0.4048,0.660273,0.620383,0.409431,0.665668,0.648927
80,3.200000000000002,0.374252,0.292546,0.86679,0.384821,0.428668,0.789287,0.389515,0.425937,0.728989,0.400232,0.54048,0.801325,0.432323,0.643906,0.823276,0.435514,0.657538,0.799576,0.403307,0.662914,0.777421,0.409364,0.657552,0.710759,0.374189,0.431475,0.744289,0.349702,0.537692,0.858675,0.323576,0.64133,0.871578,0.323638,0.662917,0.802193,0.291513,0.624963,0.744977,0.2991,0.641178,0.838917
81,3.240000000000002,0.368024,0.295267,0.814183,0.372698,0.428738,0.787958,0.381856,0.425992,0.731389,0.397068,0.540395,0.838222,0.430821,0.643855,0.808967,0.435528,0.654822,0.799559,0.403301,0.662955,0.82214,0.409347,0.6576,0.740189,0.363464,0.434198,0.710533,0.338949,0.540481,0.822821,0.320565,0.644049,0.819715,0.323596,0.66567,0.825122,0.288431,0.6411,0.813579,0.293045,0.646689,0.771393
82,3.280000000000002,0.358897,0.295313,0.845336,0.361993,0.42877,0.778707,0.3726,0.425977,0.756208,0.386434,0.537753,0.853468,0.424721,0.638446,0.792959,0.435385,0.64397,0.774344,0.401746,0.663081,0.831076,0.407829,0.660343,0.723038,0.35731,0.436905,0.715127,0.334337,0.537745,0.820687,0.31298,0.644081,0.856306,0.319053,0.663104,0.78909,0.285374,0.644017,0.839667,0.288479,0.657522,0.819096
83,3.320000000000002,0.349625,0.295271,0.894048,0.35274,0.42607,0.761954,0.361929,0.423309,0.778433,0.374179,0.537733,0.883199,0.420145,0.627594,0.81296,0.426261,0.638474,0.778588,0.400194,0.663055,0.818588,0.403291,0.660314,0.6889,0.346563,0.431478,0.712354,0.323664,0.537668,0.879642,0.31146,0.646759,0.848017,0.317504,0.665642,0.785185,0.285319,0.65486,0.762516,0.288429,0.662997,0.867821
84,3.360000000000002,0.338966,0.295154,0.885228,0.345056,0.425952,0.755825,0.3512,0.423218,0.756776,0.360419,0.543155,0.863179,0.410872,0.619423,0.874706,0.421628,0.622069,0.814303,0.398713,0.663127,0.828274,0.401756,0.662904,0.722641,0.335878,0.428737,0.723583,0.3145,0.540464,0.791478,0.311423,0.649398,0.841223,0.315999,0.665664,0.766672,0.283791,0.660248,0.763267,0.288375,0.665675,0.855529
85,3.400000000000002,0.332834,0.292492,0.878189,0.335877,0.426048,0.770057,0.34356,0.425886,0.702543,0.348138,0.54581,0.835035,0.397217,0.605843,0.828343,0.409368,0.603143,0.792179,0.397087,0.663111,0.760666,0.397147,0.662921,0.696446,0.325256,0.431415,0.724274,0.311435,0.540452,0.766361,0.311395,0.64944,0.800061,0.316014,0.663119,0.77574,0.285326,0.660339,0.768852,0.288451,0.665727,0.829363
86,3.440000000000002,0.32367,0.292332,0.892677,0.326739,0.423299,0.709773,0.334344,0.4232,0.631024,0.309867,0.535054,0.754943,0.31144,0.649417,0.772502,0.317543,0.663074,0.717457,0.285324,0.663106,0.734436,0.286867,0.662896,0.687039,0.325139,0.42595,0.722255,0.329765,0.535091,0.732168,0.384936,0.600419,0.809318,0.397126,0.597735,0.743835,0.377273,0.654865,0.698849,0.38639,0.644045,0.712477
87,3.480000000000002,0.314487,0.289724,0.84873,0.3236,0.420531,0.733,0.329749,0.420465,0.635705,0.314444,0.534891,0.80055,0.371078,0.603046,0.661765,0.377281,0.600447,0.602755,0.360347,0.65485,0.604747,0.361876,0.646723,0.563671,0.314476,0.423195,0.70702,0.308315,0.53507,0.738129,0.311389,0.652109,0.557543,0.314507,0.663032,0.578368,0.282315,0.662919,0.587427,0.288376,0.66584,0.585513
88,3.5200000000000022,0.311366,0.287057,0.877173,0.316027,0.412385,0.704611,0.325167,0.412391,0.696084,0.309816,0.532262,0.843678,0.349734,0.608523,0.831876,0.360454,0.611305,0.802065,0.33589,0.649412,0.784091,0.337422,0.64394,0.688539,0.311347,0.41506,0.732331,0.300739,0.53501,0.846817,0.311387,0.649432,0.833792,0.317515,0.663064,0.833843,0.285315,0.662876,0.786321,0.289929,0.665785,0.842448
